,id,Locate,Price_Plus,Price_Negative
269,6114,彰化縣,232.75943574690137,224.45899256812564
270,6115,臺北市,201.61010150622138,200.85790583274758
271,6116,高雄市,226.65255376344075,227.24613387978147
272,611A,臺中市,218.3043423159019,215.11390939597314
273,6160,臺北市,210.71625113554705,203.99742437218538
274,6161,新北市,218.98956626120366,215.23652649129286
275,6162,臺北市,220.03819847085074,211.47842025699174
276,6163,臺南市,213.88840784092494,203.8602205265806
277,6164,臺中市,220.7274791561394,214.80170290405988
278,6165,新竹市,213.73434945860953,197.21342629482072
279,6167,臺北市,209.37323424301522,203.7693619582666
280,6168,嘉義市,210.7125000000001,206.70256097560988
281,616A,桃園市,231.60439525330895,235.11936746987956
282,616K,高雄市,222.7985344372027,219.28171061233388
283,616X,臺北市,0.0,0.0
284,6210,高雄市,216.87756300193843,209.5824303452454
285,6380,彰化縣,199.48685008422228,196.77487129266916
286,6381,彰化縣,222.21469154842666,219.26604637336524
287,6382,彰化縣,213.45069841269844,207.91408990011107
288,6383,彰化縣,212.80681601525274,209.3569502262444
289,6385,彰化縣,216.93487116564415,206.65954177897586
290,6386,雲林縣,244.11071038872473,244.2907844925884
291,638A,嘉義縣,213.84022572178472,205.07959497868316
292,638D,高雄市,218.41615670486223,214.6180396935934
293,6450,桃園市,217.14639019300992,207.1269810831823
294,6451,桃園市,212.4312685774945,203.6520180538555
295,6452,桃園市,213.74496823956446,207.7537536372455
296,6460,新北市,223.99329801623085,211.0651264306629
297,6461,新北市,211.0913577106517,200.47650054965192
298,6462,新北市,213.38471900826443,206.45962795698932
299,6463,新竹市,217.71929049531465,208.46080629771012
300,6464,新北市,210.1711214737166,199.07862610053957
301,6465,桃園市,226.6445234758235,222.41083612040157
302,6480,臺北市,234.0561837761359,237.01658464979727
303,6489,新竹縣,259.6894489795918,262.23584239130435
304,6620,桃園市,229.73381831610033,221.02189969604842
305,6910,臺北市,223.02709229484233,215.5362855988688
306,6912,臺中市,211.86639568345333,202.82563301728956
307,6913,臺南市,214.34235121542338,204.85812030075184
308,6914,新北市,212.90147986942344,203.59559602649
309,6915,臺北市,240.64668915272523,237.5054781341107
310,6950,新北市,203.06189055671692,200.04001380706904
311,7000,臺北市,211.40844802605983,203.68487611469592
312,7001,嘉義市,217.9415878464274,211.42250975473817
313,7003,臺中市,226.4313335445043,212.98704085321762
314,7005,臺中市,230.52585633878294,226.0741203966011
315,7006,臺南市,202.54656072043414,195.1231392694064
316,7007,新竹縣,216.7359120470734,211.56691518943356
317,7008,新北市,215.50355724775605,215.07244142857158
318,7009,臺北市,217.70256523337022,212.66204385277976
319,700B,新北市,221.25994591937072,217.32757303370786
320,700C,雲林縣,220.81059659812146,220.62437372188143
321,700D,雲林縣,211.99822878228792,213.67513037180092
322,700E,雲林縣,221.21951664025386,213.30171779141114
323,700F,雲林縣,266.21484177777774,249.62062614259585
324,700G,臺南市,202.97599328859064,205.74681419457735
325,700H,臺北市,233.75594589816103,227.66367744610278
326,700I,高雄市,225.83948326432022,201.04137380952386
327,700J,臺中市,223.0762832788417,217.78328164717857
328,700K,臺南市,209.77182304714185,201.0294400740399
329,700L,臺北市,206.78442453522473,202.3901018115433
330,700M,桃園市,223.18710854947128,221.6113123614191
331,700N,新北市,199.6878854314004,191.33437268518523
332,700P,臺北市,247.00401116287225,240.10312904353887
333,700R,高雄市,223.05337056128292,220.83101804123723
334,700S,臺北市,236.12729551731493,225.58598054081372
335,700U,桃園市,222.65750000000006,221.67382829977635
336,700V,新竹市,201.7541411948984,199.08292440244577
337,700W,臺北市,246.7424142688213,255.32393761302018
338,700X,新北市,226.2257441919838,213.7647854077251
339,700Z,高雄市,226.61543263964947,215.47241680672283
340,700a,臺北市,233.61981859323464,211.7725944645003
341,700b,桃園市,221.25994591937072,217.32757303370786
342,700c,臺北市,220.81059659812146,220.62437372188143
343,700d,彰化縣,211.99822878228792,213.67513037180092
344,700f,彰化縣,266.21484177777774,249.62062614259585
345,700g,臺北市,202.97599328859064,205.74681419457735
346,700h,高雄市,233.75594589816103,227.66367744610278
347,700i,臺北市,225.83948326432022,201.04137380952386
348,700j,臺北市,223.0762832788417,217.78328164717857
349,700k,彰化縣,209.77182304714185,201.0294400740399
350,700m,臺北市,223.18710854947128,221.6113123614191
351,700p,臺北市,247.00401116287225,240.10312904353887
352,700q,臺北市,247.17708798424152,217.7554174228676
353,700r,臺中市,223.05337056128292,220.83101804123723
354,700s,高雄市,236.12729551731493,225.58598054081372
355,700w,新北市,246.7424142688213,255.32393761302018
356,7030,臺南市,210.19245877061465,202.6000492610838
357,7031,臺北市,211.35812442817928,212.05253326996203
