,id,Locate,Latitude,Longitude,Price_Plus,Price_Negative
138,5266,桃園市,24.8545491,120.9519931,191.17341463414635,-238.76562499999994
139,5267,基隆市,25.1240308,121.6475836,157.06884615384615,-162.73647058823528
140,5268,臺南市,23.1229948,120.1312983,283.2926923076923,-262.219375
141,5269,臺中市,24.2204731,120.675682,184.13476190476192,-163.793
142,526A,新北市,24.9869053,121.3645974,145.96722222222223,-147.92722222222224
143,526K,新北市,24.9869053,121.3645974,268.03639534883723,-248.55336956521734
144,526L,新北市,24.9869053,121.3645974,177.142,-169.05192307692306
145,5320,桃園市,24.8545491,120.9519931,270.65400826446273,-526.9614556962025
146,5321,桃園市,24.8545491,120.9519931,173.1068103448276,-244.0586956521739
147,5322,桃園市,24.8545491,120.9519931,230.8319230769231,-266.5240909090909
148,5323,桃園市,24.8545491,120.9519931,185.12265625,-206.63380952380953
149,5380,臺北市,25.0169639,121.226186,793.9626041666667,-3326.4900000000002
150,5381,彰化縣,23.992187,120.323067,517.9177857142857,-452.95132352941175
151,5382,臺中市,24.2204731,120.675682,401.1589473684211,-241.01153846153844
152,5383,高雄市,22.7955626,120.3328973,320.2505072463768,-423.9644897959185
153,5384,臺南市,23.1229948,120.1312983,418.18741758241765,-493.20029850746266
154,5385,桃園市,24.8545491,120.9519931,286.3458433734939,-335.79677777777766
155,5386,彰化縣,23.992187,120.323067,294.445,-344.0640384615384
156,5387,澎湖縣,23.1971235,119.9587763,232.68520833333332,-220.54937500000005
157,5389,臺北市,25.0169639,121.226186,252.17717391304348,-421.5921875000001
158,538A,高雄市,22.7955626,120.3328973,977.6984374999998,-2036.7706250000003
159,538B,新竹市,24.7835529,120.9316641,282.7803125,-373.6823076923077
160,538C,臺北市,25.0169639,121.226186,217.2232558139535,-298.80890625
161,538D,臺北市,25.0169639,121.226186,311.21606060606064,-688.1516666666666
162,538E,臺中市,24.2204731,120.675682,215.9145535714286,-249.5491463414633
163,538F,臺北市,25.0169639,121.226186,402.89108695652175,-386.623
164,538I,苗栗縣,24.5151718,120.6615375,233.94809523809522,-285.6238461538462
165,538M,嘉義市,23.4790323,120.4142769,307.15197916666665,-342.91162499999996
166,538N,臺中市,24.2204731,120.675682,335.8786507936509,-562.524
167,538P,高雄市,22.7955626,120.3328973,281.0255337078652,-344.35336283185836
168,538W,新北市,24.9869053,121.3645974,288.4865853658536,-1133.2022727272727
169,538Y,桃園市,24.8545491,120.9519931,191.6023684210526,-206.6705172413793
170,538a,臺北市,25.0169639,121.226186,977.6984374999998,-2036.7706250000003
171,538j,臺北市,25.0169639,121.226186,261.36241935483866,-266.0398214285714
172,5460,臺中市,24.2204731,120.675682,185.85833333333335,-209.71166666666667
173,5600,臺北市,25.0169639,121.226186,230.17484848484844,-202.26104166666667
174,5602,臺中市,24.2204731,120.675682,155.4615909090909,-265.24107142857144
175,5603,臺中市,24.2204731,120.675682,217.62565217391307,-237.46359374999997
176,5604,臺中市,24.2204731,120.675682,299.35558823529414,-363.0253846153846
177,5660,苗栗縣,24.5151718,120.6615375,207.3822916666668,-179.69545454545448
178,5850,臺北市,25.0169639,121.226186,1368.1652464788735,-1507.8819333333329
179,5851,高雄市,22.7955626,120.3328973,655.9737142857142,-590.1258522727275
180,5852,臺北市,25.0169639,121.226186,214.34264705882353,-202.10733333333334
181,5853,桃園市,24.8545491,120.9519931,234.5012711864408,-309.3566326530612
182,5854,臺北市,25.0169639,121.226186,191.274,-196.5505882352941
183,5855,臺南市,23.1229948,120.1312983,194.65640000000002,-295.0293023255814
184,5856,臺中市,24.2204731,120.675682,225.35045454545454,-271.1031249999999
185,5857,新竹市,24.7835529,120.9316641,163.39288135593222,-197.60797297297302
186,5858,嘉義市,23.4790323,120.4142769,519.7187878787879,-265.34722222222223
187,5859,屏東縣,22.3912447,120.0679491,253.98698275862077,-282.05808510638303
188,585A,基隆市,25.1240308,121.6475836,356.3864705882353,-273.3513333333333
189,585B,新北市,24.9869053,121.3645974,236.715,-183.6321428571428
190,585D,臺中市,24.2204731,120.675682,802.9125862068963,-1196.6447058823528
