,Id,stockiid,buy,sell,blance,Latitude_and_Longitude
623,9347,2330,2823.9607499999993,-4126.042,-1302.0812500000004,"('25.041763', '121.548271')"
519,918x,2330,2001.23325,-3298.08975,-1296.8565,"('25.056549', '121.511475')"
511,918X,2330,2001.23325,-3298.08975,-1296.8565,"('25.050911', '121.51352')"
277,616K,2330,9729.42475,-11004.996750000002,-1275.572000000002,"('22.629454', '120.295318')"
805,989W,2330,4295.617249999998,-5565.17625,-1269.559000000001,"('24.25504428', '120.72246313')"
678,980a,2330,3762.25425,-5018.023500000001,-1255.7692500000014,"('25.070592', '121.518096')"
428,8581,2330,3592.74775,-4837.487000000001,-1244.739250000001,"('22.629156', '120.313829')"
429,8582,2330,818.909,-2047.2015,-1228.2925,"('23.60246728', '120.39221025')"
42,1117,2330,4181.5562500000015,-5398.01075,-1216.454499999999,"('24.8279', '121.01051')"
812,989f,2330,6104.724499999998,-7306.31225,-1201.5877500000004,"('22.470167', '120.457815')"
794,989F,2330,6104.724499999998,-7306.31225,-1201.5877500000004,"('22.654532', '120.315625')"
648,9654,2330,5096.420999999999,-6286.7247499999985,-1190.3037499999991,"('25.007262', '121.506427')"
758,9858,2330,6343.9185,-7514.92325,-1171.00475,"('24.863562', '121.211771')"
397,815S,2330,2576.7975,-3716.686500000001,-1139.889000000001,"('24.959694', '121.224767')"
553,921S,2330,2092.442,-3223.7424999999994,-1131.3004999999996,"('25.045269', '121.453491')"
518,918u,2330,3476.66875,-4605.67975,-1129.0110000000004,"('22.622579', '120.329768')"
404,8451,2330,2047.3480000000006,-3147.5917500000005,-1100.24375,"('25.053216', '121.509811')"
184,585A,2330,5107.37275,-6200.47775,-1093.1049999999998,"('25.127909', '121.744473')"
287,6450,2330,4720.00575,-5806.3065000000015,-1086.3007500000003,"('24.993802', '121.302993')"
658,9666,2330,8804.059000000001,-9874.15375,-1070.0947500000002,"('24.142212', '120.639384')"
411,845D,2330,6517.61825,-7559.207249999998,-1041.5889999999972,"('25.019378', '121.479061')"
311,7008,2330,2403.6015,-3438.32325,-1034.7217500000004,"('25.068216', '121.496242')"
