,Id,stockiid,buy,sell,blance,Latitude_and_Longitude
693,981C,2330,2620.19075,-2645.6785,-25.487750000000233,"('22.854514', '120.25984')"
710,981a,2330,1835.93075,-1859.86825,-23.937499999999773,"('22.966657', '120.293211')"
691,981A,2330,1835.93075,-1859.86825,-23.937499999999773,"('24.956118', '121.34945')"
485,913N,2330,2623.72925,-2644.868,-21.138750000000073,"('24.985456', '121.445112')"
432,8585,2330,1310.1282500000002,-1327.9405000000004,-17.81224999999995,"('25.061408', '121.495238')"
790,989B,2330,5183.5239999999985,-5196.719750000001,-13.19575000000168,"('24.156274', '120.660124')"
462,8887,2330,6589.58225,-6599.092999999999,-9.510749999999462,"('25.041682', '121.552496')"
175,5851,2330,10184.287,-10188.18225,-3.895249999999578,"('22.630603', '120.308499')"
47,111C,2330,1226.2325,-1229.6829999999998,-3.4504999999996926,"('22.632746', '120.301672')"
667,9693,2330,2650.094,-2650.2845,-0.19049999999970169,"('23.3052104', '120.3032022')"
520,918z,2330,2581.4320000000002,-2581.597,-0.16499999999996362,"('24.75485245', '121.75145086')"
255,592y,2330,1629.53725,-1627.8025,1.7347500000000764,"('23.98096466', '121.60855602')"
237,592Y,2330,1629.53725,-1627.8025,1.7347500000000764,"('23.966468', '120.964319')"
188,585F,2330,3759.2865,-3752.12875,7.157749999999851,"('24.0743658', '120.5422267')"
139,526K,2330,6013.209000000002,-6002.629000000001,10.579999999999927,"('25.06706', '121.497468')"
401,8382,2330,982.221,-971.2787499999997,10.942250000000056,"('22.729615', '120.333134')"
149,5384,2330,6076.159000000001,-6062.442000000001,13.716999999998734,"('22.986071', '120.211061')"
744,983W,2330,4436.83675,-4421.116500000001,15.720249999998488,"('24.113186', '120.690528')"
711,981e,2330,1972.1667500000005,-1946.11575,26.05100000000061,"('23.16235', '120.177891')"
695,981E,2330,1972.1667500000005,-1946.11575,26.05100000000061,"('25.045269', '121.453491')"
406,8456,2330,2784.1225,-2757.941500000001,26.180999999999585,"('24.80069', '120.961189')"
327,700R,2330,2263.3365,-2236.6285,26.708000000000087,"('22.567037', '120.356664')"
347,700r,2330,2263.3365,-2236.6285,26.708000000000087,"('24.179342', '120.623806')"
492,9185,2330,8838.2795,-8804.36025,33.91925000000083,"('22.995278', '120.197078')"
140,526L,2330,1221.85175,-1182.6382500000004,39.213499999999605,"('25.08462364', '121.46148068')"
522,9202,2330,10302.44825,-10259.86275,42.58550000000105,"('24.147801', '120.674211')"
269,6161,2330,4205.673,-4157.750999999998,47.92200000000048,"('25.058498', '121.486514')"
613,9327,2330,1883.3112499999993,-1834.6225,48.68874999999935,"('23.710669', '120.543366')"
191,585J,2330,4738.92825,-4688.4695,50.45874999999978,"('25.05777', '121.488741')"
746,983f,2330,3264.7285,-3214.1907499999993,50.53775000000087,"('24.730104', '121.089329')"
131,5263,2330,4103.6955,-4052.8417500000014,50.853749999999316,"('25.0613958', '121.4305504')"
637,9616,2330,2520.9722500000007,-2463.47025,57.50200000000041,"('22.797952', '120.297498')"
584,9278,2330,4165.01325,-4105.570999999999,59.442250000000975,"('23.025295', '120.255614')"
232,592S,2330,1339.57225,-1277.4305,62.14175,"('25.129205', '121.744187')"
743,983V,2330,3677.30575,-3608.37375,68.93200000000071,"('24.686613', '120.87886')"
739,983K,2330,1699.941,-1629.14775,70.79324999999993,"('23.229127', '120.182561')"
48,111E,2330,1850.38825,-1778.7320000000002,71.65625,"('24.99012', '121.30933')"
751,984H,2330,3450.4385,-3373.00325,77.43525,"('24.993142', '121.541492')"
152,5387,2330,2170.93025,-2085.22375,85.70649999999978,"('23.571228', '119.570334')"
589,9288,2330,2711.166750000001,-2625.29125,85.87550000000056,"('25.018991', '121.479063')"
144,5323,2330,1837.13125,-1749.82425,87.30699999999979,"('24.9767608', '121.2526173')"
590,9289,2330,2461.7245,-2374.01,87.71450000000004,"('25.000169', '121.556317')"
528,9209,2330,4046.9374999999986,-3958.4605,88.47699999999895,"('22.799358', '120.293004')"
367,7798,2330,2150.96275,-2053.31775,97.64499999999998,"('24.973739', '121.258279')"
10,102E,2330,9941.329000000002,-9842.544499999998,98.78450000000342,"('24.991292', '121.311505')"
509,918P,2330,4927.1405,-4827.19675,99.94374999999944,"('25.119042', '121.53085')"
168,5460,2330,1627.71475,-1526.7004999999995,101.01425000000015,"('24.163778', '120.688908')"
209,5870,2330,4395.994499999999,-4280.69875,115.29574999999932,"('23.9768176', '121.6085574')"
103,126L,2330,2185.096,-2065.25,119.846,"('24.154156', '120.646317')"
732,9833,2330,8516.818000000001,-8389.3305,127.48750000000109,"('25.030362', '121.549164')"
364,7792,2330,2243.7815,-2107.5199999999995,136.26150000000007,"('25.13111', '121.49836')"
660,966F,2330,5254.027749999998,-5115.95,138.0777499999995,"('22.665816', '120.303303')"
130,5262,2330,4051.35925,-3910.97275,140.38650000000007,"('24.908009', '121.14714')"
650,9657,2330,2292.628,-2148.772749999999,143.85525000000052,"('24.560853', '120.822554')"
206,5860,2330,1338.3719999999996,-1192.7909999999995,145.58100000000013,"('22.634895', '120.30061')"
583,9276,2330,1758.5195,-1612.9279999999994,145.59150000000022,"('24.559769', '120.821642')"
193,585P,2330,3642.937,-3495.71725,147.2197500000002,"('25.00825', '121.45843')"
505,918J,2330,5989.08575,-5838.89125,150.19450000000055,"('25.007336', '121.514595')"
133,5265,2330,1202.468,-1044.55725,157.91075,"('24.5658908', '120.82396')"
195,585R,2330,2734.67075,-2575.46075,159.21000000000004,"('25.065281', '121.632418')"
244,592g,2330,1719.2329999999995,-1559.22275,160.0102499999996,"('24.21062', '120.705155')"
224,592G,2330,1719.2329999999995,-1559.22275,160.0102499999996,"('24.802998', '120.970514')"
281,6382,2330,1330.346,-1165.67675,164.66925000000015,"('23.8595603', '120.5865165')"
240,592b,2330,3634.57775,-3466.8902499999995,167.6875,"('25.011274', '121.463794')"
220,592B,2330,3634.57775,-3466.8902499999995,167.6875,"('24.997288', '121.515898')"
688,9815,2330,3504.47475,-3334.47975,169.9949999999999,"('23.006815', '120.261685')"
15,1032,2330,2818.6835,-2647.68775,170.99575000000004,"('22.992226', '120.203439')"
196,585S,2330,2376.83275,-2205.26575,171.5670000000005,"('24.751041', '121.745459')"
205,585s,2330,2376.83275,-2205.26575,171.5670000000005,"('25.050111', '121.56494')"
838,9A9K,2330,3023.9349999999995,-2850.2722500000004,173.66274999999905,"('25.06494228', '121.48594478')"
122,2186,2330,1783.4305,-1608.89725,174.53324999999995,"('22.613307', '120.305159')"
249,592o,2330,2929.8525,-2753.81075,176.0417500000003,"('22.633854', '120.309499')"
335,700b,2330,1722.148,-1545.0177499999998,177.13025000000016,"('24.956011', '121.224836')"
313,700B,2330,1722.148,-1545.0177499999998,177.13025000000016,"('25.020913', '121.467122')"
488,913Y,2330,6186.4275,-6005.83675,180.5907500000003,"('25.043976', '121.513287')"
555,9223,2330,4885.839,-4700.474,185.36499999999972,"('24.25504428', '120.72246313')"
87,116g,2330,8665.47,-8467.389000000001,198.0810000000001,"('24.870698', '121.216074')"
66,116G,2330,8665.47,-8467.389000000001,198.0810000000001,"('24.991831', '121.540643')"
480,9138,2330,1770.8515000000002,-1570.93725,199.91425000000027,"('24.263293', '120.533735')"
780,988V,2330,916.0465,-713.635,202.41150000000005,"('25.058916', '121.365324')"
457,8882,2330,11915.009999999998,-11708.6045,206.40549999999888,"('24.142657', '120.673681')"
750,984E,2330,1403.9062500000002,-1193.6257499999995,210.28050000000053,"('24.99101', '121.512055')"
675,980K,2330,10066.18025,-9853.156,213.02425000000042,"('24.782145', '121.019836')"
43,1118,2330,3166.71325,-2951.143500000001,215.56974999999875,"('24.251532', '120.715351')"
132,5264,2330,1525.207,-1304.0834999999995,221.12350000000012,"('22.618084', '120.299994')"
182,5858,2330,6120.67275,-5887.6,233.0727499999994,"('23.483761', '120.448025')"
439,8841,2330,12378.6555,-12144.966000000004,233.6894999999968,"('25.007262', '121.506427')"
282,6383,2330,1841.8775,-1607.7625000000005,234.11499999999958,"('24.1098336', '120.5005689')"
486,913R,2330,2644.8347500000004,-2405.25975,239.57500000000027,"('22.663295', '120.301162')"
295,6465,2330,2444.89175,-2204.9677500000007,239.924,"('25.015785', '121.306298')"
25,103C,2330,1292.06875,-1046.2095000000004,245.85924999999975,"('23.351622', '120.414871')"
363,7791,2330,2790.91225,-2541.6222499999994,249.29000000000042,"('22.7645083', '121.139814')"
153,5389,2330,4600.890750000001,-4351.31575,249.57500000000076,"('25.056124', '121.522981')"
273,6165,2330,11562.962,-11308.423999999999,254.53800000000047,"('24.80878', '120.97842')"
227,592L,2330,1734.1457499999995,-1478.5495,255.59624999999986,"('24.961232', '121.2266')"
246,592l,2330,1734.1457499999995,-1478.5495,255.59624999999986,"('24.123572', '120.683634')"
547,921C,2330,7945.882,-7685.7425,260.1394999999993,"('25.062628', '121.543817')"
558,9226,2330,2421.5532499999995,-2157.41925,264.13399999999956,"('25.065115', '121.656378')"
419,8490,2330,2288.2682500000005,-2022.5667499999995,265.70150000000103,"('23.475343', '120.444467')"
216,5927,2330,3514.16175,-3247.47175,266.6900000000005,"('22.500321', '120.393101')"
379,779e,2330,1905.29075,-1629.59675,275.6940000000002,"('23.079546', '120.295368')"
369,779E,2330,1905.29075,-1629.59675,275.6940000000002,"('25.04767', '121.29172')"
574,9256,2330,3691.946,-3413.8025,278.1434999999997,"('25.04771', '121.29217')"
418,845X,2330,1171.229,-892.1120000000002,279.117,"('22.674973', '120.489469')"
171,5603,2330,4684.850250000001,-4398.089249999999,286.76100000000224,"('24.156326', '120.687556')"
143,5322,2330,1344.1572499999995,-1057.3339999999996,286.82324999999986,"('24.957087', '121.22298')"
515,918g,2330,3241.1885,-2953.89175,287.29675,"('24.34769', '120.617608')"
503,918G,2330,3241.1885,-2953.89175,287.29675,"('25.051215', '121.453436')"
37,1112,2330,1740.7605,-1449.486,291.2745,"('22.992652', '120.198074')"
423,8562,2330,7124.6345,-6829.4115,295.223,"('22.629174', '120.296467')"
725,9825,2330,4745.3719999999985,-4448.33275,297.0392499999998,"('23.304803', '120.318048')"
476,9134,2330,3732.12475,-3434.142500000001,297.9822499999996,"('23.008362', '120.222413')"
160,538I,2330,4553.297250000001,-4248.9095,304.3877500000008,"('24.68636369', '120.91302342')"
764,9868,2330,3760.6477499999987,-3452.9465,307.7012499999996,"('24.173226', '120.665795')"
22,1039,2330,1501.6592500000004,-1186.41175,315.2475000000002,"('25.097361', '121.527221')"
371,779H,2330,2435.28675,-2119.3414999999995,315.94525000000067,"('23.473794', '120.447141')"
381,779m,2330,3468.3865000000005,-3148.604250000001,319.7822500000002,"('24.148457', '120.673213')"
551,921J,2330,2105.42825,-1785.2099999999996,320.2182500000001,"('24.987793', '121.46813')"
21,1038,2330,1948.7820000000002,-1622.7140000000006,326.0679999999996,"('25.02486', '121.547411')"
696,981F,2330,3242.48525,-2912.0907500000008,330.39449999999937,"('25.019214', '121.422452')"
506,918K,2330,5327.763000000001,-4993.52375,334.23924999999963,"('25.074091', '121.606528')"
39,1114,2330,2854.43375,-2518.91825,335.5155,"('23.479185', '120.451083')"
765,9869,2330,6937.299500000001,-6597.61875,339.6807500000013,"('25.038362', '121.446492')"
28,1041,2330,7510.719,-7170.56575,340.1532500000003,"('22.628738', '120.357297')"
24,103B,2330,2039.46,-1696.6479999999995,342.8120000000001,"('24.0807671503', '120.5418333369')"
286,638D,2330,3960.1895,-3613.549750000001,346.63974999999886,"('22.620407', '120.324843')"
754,9853,2330,5113.75575,-4766.714750000001,347.04099999999926,"('24.146885', '120.650724')"
400,8381,2330,1848.389,-1496.7020000000002,351.68699999999984,"('22.603254', '120.398239')"
742,983U,2330,5169.358,-4810.455249999999,358.90275000000116,"('24.685114', '120.906872')"
55,1164,2330,4646.5645,-4284.946249999999,361.61825000000135,"('25.06886', '121.586984')"
426,8565,2330,4748.812500000001,-4385.785,363.02750000000106,"('24.99236', '121.313695')"
563,9231,2330,1902.478,-1538.984,363.49399999999986,"('23.95892167', '120.57429326')"
343,700k,2330,4710.18975,-4341.0652500000015,369.124499999999,"('23.95892167', '120.57429326')"
322,700K,2330,4710.18975,-4341.0652500000015,369.124499999999,"('23.30544409', '120.318836')"
665,9686,2330,3554.0475,-3179.46175,374.5857499999997,"('24.758697', '121.755453')"
420,8520,2330,3601.886,-3223.965,377.9209999999998,"('24.2598', '120.537609')"
635,9608,2330,2099.74875,-1719.8455,379.90324999999984,"('22.7546119', '121.1533285')"
424,8563,2330,9548.0505,-9167.9935,380.0570000000007,"('24.82042', '121.02555')"
538,920V,2330,1974.328,-1582.1989999999998,392.1290000000001,"('24.98135', '121.541847')"
95,1230,2330,10212.36525,-9808.776500000002,403.58874999999716,"('25.042209', '121.511651')"
642,9625,2330,6611.7885,-6203.241,408.5474999999997,"('24.739175', '121.087809')"
628,9362,2330,2261.01775,-1851.40925,409.60850000000005,"('24.55518', '120.818997')"
78,116V,2330,2636.59925,-2224.43925,412.1600000000003,"('23.70866786', '120.54106595')"
502,918F,2330,3489.2917499999994,-3076.36725,412.92449999999917,"('24.978049', '121.542901')"
106,126X,2330,2026.21925,-1612.06825,414.15100000000007,"('23.035918', '120.308442')"
223,592E,2330,4861.12275,-4441.2955,419.82724999999937,"('25.050151', '121.51703')"
243,592e,2330,4861.12275,-4441.2955,419.82724999999937,"('25.02307', '121.525154')"
774,987A,2330,3539.28375,-3115.91175,423.37199999999984,"('24.910119', '121.14692')"
540,920Z,2330,4073.17825,-3645.8887500000014,427.2894999999994,"('22.756335', '121.1514847')"
354,7034,2330,2530.413,-2102.3345,428.07850000000013,"('22.979776', '120.191731')"
297,6489,2330,1354.5392499999996,-921.22375,433.31549999999993,"('24.828389', '121.011203')"
566,9235,2330,2408.393,-1974.316,434.0769999999995,"('22.98759268', '120.19640633')"
294,6464,2330,8768.339,-8332.69075,435.64825000000013,"('24.97414934', '121.54307783')"
552,921M,2330,1906.09375,-1470.1077499999994,435.98600000000033,"('24.954273', '121.298844')"
477,9135,2330,7819.911000000003,-7382.491749999999,437.4192500000026,"('24.812726', '120.965343')"
472,9105,2330,5632.136,-5193.55475,438.58124999999933,"('22.620276', '120.301811')"
753,9852,2330,9704.6275,-9257.39425,447.2332499999975,"('25.040714', '121.575092')"
53,1162,2330,7254.41525,-6798.37275,456.0424999999996,"('22.986548', '120.218279')"
609,9323,2330,2672.5925,-2214.552,458.0405000000005,"('22.567007', '120.355287')"
602,9312,2330,2600.69225,-2141.7695,458.9227500000002,"('22.611302', '120.313329')"
668,9695,2330,1889.24825,-1405.1394999999998,484.10875000000016,"('23.557524', '120.424254')"
705,981S,2330,6457.5995,-5971.615749999999,485.98375000000124,"('24.169883', '120.685715')"
77,116U,2330,5264.393249999999,-4775.772,488.6212499999992,"('25.020217', '121.296323')"
669,9697,2330,7703.393249999997,-7208.24675,495.146499999998,"('23.709395', '120.432824')"
677,980R,2330,4995.459250000001,-4498.2275,497.23175000000083,"('25.032808', '121.517265')"
636,9614,2330,3474.6405000000004,-2971.8862500000005,502.75425,"('25.129285', '121.74737')"
150,5385,2330,4358.9205,-3854.85825,504.0622500000004,"('24.990168', '121.309649')"
830,9A9A,2330,3007.10375,-2502.08775,505.01600000000013,"('24.677824', '121.771768')"
851,9A9a,2330,3007.10375,-2502.08775,505.01600000000013,"('22.613307', '120.305159')"
542,9212,2330,2131.663,-1617.06175,514.6012499999995,"('22.47017', '120.457999')"
90,116k,2330,2914.90125,-2389.71375,525.1875,"('22.668116', '120.295072')"
70,116K,2330,2914.90125,-2389.71375,525.1875,"('23.97740762', '121.60886779')"
198,585W,2330,1806.77475,-1277.86125,528.9135000000001,"('24.43676791', '118.31782707')"
783,9893,2330,6910.99675,-6376.181,534.8157500000007,"('25.105763', '121.525012')"
611,9325,2330,2466.519,-1931.1542500000005,535.36475,"('25.042416', '121.531765')"
597,9305,2330,4853.977,-4317.352250000001,536.624749999999,"('25.045119', '121.452631')"
288,6451,2330,15348.899,-14806.728749999998,542.170250000001,"('25.044581', '121.290242')"
723,9822,2330,3963.958,-3420.46275,543.4952500000004,"('24.988375', '121.458293')"
478,9136,2330,7888.3089999999975,-7344.371000000001,543.9379999999974,"('25.051611', '121.563965')"
172,5604,2330,1489.0135,-943.1685,545.845,"('24.153998', '120.649993')"
412,845E,2330,1280.7745,-729.9735,550.8009999999999,"('23.571004', '119.572243')"
434,8587,2330,1687.161,-1126.9879999999996,560.1730000000001,"('24.116032', '120.656845')"
786,9897,2330,3532.94375,-2971.6,561.34375,"('24.985545', '121.445172')"
483,913H,2330,2419.68425,-1857.96975,561.7144999999996,"('22.671284', '120.487082')"
726,9829,2330,5004.192499999999,-4441.745000000001,562.4474999999984,"('22.998734', '120.235967')"
306,7001,2330,5292.14025,-4726.6370000000015,565.5032499999987,"('23.483619', '120.448624')"
279,6380,2330,3314.253,-2747.95875,566.2942499999995,"('23.8733328', '120.5242963')"
548,921E,2330,5520.97025,-4951.7315,569.2387500000004,"('24.935931', '121.372253')"
850,9A9Z,2330,8169.473000000001,-7597.688749999998,571.7842500000006,"('25.062579', '121.542192')"
617,9332,2330,3212.2695,-2638.4885,573.781,"('22.732152', '120.327909')"
373,779P,2330,6698.5655,-6114.40825,584.1572499999992,"('24.165402', '120.694238')"
187,585E,2330,2801.04,-2214.1165,586.9234999999999,"('23.304965', '120.318717')"
380,779j,2330,5140.65475,-4551.86875,588.7860000000002,"('22.621265', '120.321334')"
372,779J,2330,5140.65475,-4551.86875,588.7860000000002,"('22.664388', '120.304534')"
392,8158,2330,2822.565,-2232.14325,590.4217499999995,"('25.05236', '121.532796')"
155,538B,2330,5531.2165,-4927.7605,603.4559999999992,"('24.806705', '120.967692')"
835,9A9G,2330,5273.4834999999985,-4665.4805,608.0029999999998,"('25.104812', '121.527232')"
857,9A9g,2330,5273.4834999999985,-4665.4805,608.0029999999998,"('25.085169', '121.559547')"
332,700X,2330,3922.77175,-3309.06925,613.7025000000002,"('25.012066', '121.514869')"
847,9A9W,2330,5174.402,-4560.552500000002,613.8494999999994,"('24.159131', '120.639556')"
801,989Q,2330,6936.262999999999,-6317.210499999999,619.0524999999998,"('25.062492', '121.653785')"
720,981r,2330,3780.87725,-3160.242,620.6352500000003,"('22.677031', '120.490991')"
704,981R,2330,3780.87725,-3160.242,620.6352500000003,"('23.756537', '120.682557')"
259,5962,2330,1934.7485,-1301.2475,633.5009999999997,"('23.904264', '120.689918')"
772,9878,2330,4459.429000000001,-3820.1835,639.2455000000008,"('22.994996', '120.193814')"
350,7030,2330,2257.945,-1614.24375,643.7012499999996,"('22.99997', '120.201708')"
550,921G,2330,2308.4305,-1663.5675000000006,644.8629999999996,"('25.082911', '121.438621')"
265,6115,2330,1495.2157499999996,-848.7615000000003,646.4542499999998,"('25.044216', '121.526693')"
384,779u,2330,6271.2735,-5624.3925,646.8810000000002,"('25.037378', '121.555759')"
603,9314,2330,3289.19525,-2640.405,648.79025,"('23.477835', '120.449727')"
213,5923,2330,3609.71275,-2950.85575,658.8570000000004,"('25.062449', '121.498072')"
814,989j,2330,5796.255,-5135.299999999998,660.9550000000007,"('24.991053', '121.423277')"
797,989J,2330,5796.255,-5135.299999999998,660.9550000000007,"('24.0835139', '120.5459774')"
230,592P,2330,4901.387499999999,-4235.59875,665.7887499999988,"('22.796176', '120.295401')"
44,1119,2330,3388.6070000000013,-2715.02525,673.5817500000012,"('22.79526', '120.2959')"
777,9889,2330,3679.302,-3002.4109999999987,676.8910000000005,"('23.95892167', '120.57429326')"
567,9236,2330,2994.314250000001,-2315.1695,679.1447500000004,"('23.709327', '120.433065')"
225,592H,2330,3118.4455000000007,-2425.49775,692.9477500000003,"('25.034255', '121.527658')"
12,102G,2330,1956.33575,-1258.5765,697.7592499999997,"('25.06144447', '121.49800733')"
541,9211,2330,12580.62675,-11882.6735,697.9532500000005,"('22.985499', '120.22163')"
849,9A9Y,2330,4129.255999999999,-3429.2737499999994,699.9822500000009,"('25.012856', '121.468046')"
766,986K,2330,5017.083500000002,-4302.009499999999,715.0740000000013,"('25.130221', '121.740528')"
71,116L,2330,6997.544,-6278.0342500000015,719.5097499999993,"('24.1530369', '120.6474343')"
17,1034,2330,2293.58575,-1566.4622499999996,727.1234999999998,"('23.479615', '120.449815')"
413,845F,2330,4866.816000000002,-4130.58225,736.2337500000003,"('25.038349', '121.547888')"
855,9A9e,2330,5124.208750000002,-4381.193750000001,743.0149999999994,"('22.629741', '120.328129')"
834,9A9E,2330,5124.208750000002,-4381.193750000001,743.0149999999994,"('25.009024', '121.460905')"
760,985C,2330,5427.486250000001,-4670.86875,756.6175000000012,"('22.625464', '120.350197')"
779,988C,2330,1956.5635,-1193.1415,763.4219999999997,"('25.059767', '121.490989')"
618,9333,2330,2884.4029999999993,-2120.358,764.0449999999997,"('24.678314', '121.769818')"
52,1161,2330,6729.52625,-5964.356749999999,765.1695000000009,"('25.046607', '121.513111')"
222,592D,2330,4761.87725,-3995.8179999999998,766.0592499999992,"('22.639397', '120.327587')"
242,592d,2330,4761.87725,-3995.8179999999998,766.0592499999992,"('25.049431', '121.523747')"
568,9237,2330,3643.1875,-2866.46925,776.7182500000004,"('25.051373', '121.548469')"
860,9A9j,2330,5418.73325,-4637.00375,781.7295000000003,"('23.479678', '120.446045')"
837,9A9J,2330,5418.73325,-4637.00375,781.7295000000003,"('25.027981', '121.471025')"
793,989E,2330,11032.585,-10249.8055,782.7794999999987,"('23.974095', '120.682217')"
811,989e,2330,11032.585,-10249.8055,782.7794999999987,"('24.999689', '121.502274')"
358,703B,2330,3741.087750000001,-2947.3144999999995,793.7732500000017,"('22.976094', '120.22471')"
655,9661,2330,7095.84125,-6297.7247499999985,798.1165000000002,"('24.978049', '121.542901')"
629,9363,2330,3418.1604999999995,-2617.6595,800.5009999999992,"('24.0794898', '120.5409032')"
800,989P,2330,8094.763749999997,-7289.529499999998,805.2342500000012,"('25.040574', '121.549278')"
127,5112,2330,2175.9105,-1360.67125,815.2392499999999,"('25.049232', '121.523631')"
415,845R,2330,3120.43625,-2304.5005,815.9357499999996,"('25.115099', '121.517502')"
735,9837,2330,3399.42775,-2581.90775,817.52,"('23.568128', '120.301917')"
231,592Q,2330,4866.91725,-4038.98175,827.9355000000005,"('25.041283', '121.552754')"
250,592q,2330,4866.91725,-4038.98175,827.9355000000005,"('22.674973', '120.489469')"
573,9255,2330,3997.76525,-3168.06275,829.7024999999994,"('25.026659', '121.522462')"
672,9801,2330,5730.9895000000015,-4897.97925,833.0102500000003,"('25.05512', '121.533286')"
619,9334,2330,3414.0855,-2576.948000000001,837.1374999999997,"('25.029839', '121.557928')"
756,9856,2330,4012.6832500000014,-3172.329,840.3542500000003,"('23.98972565', '121.60138507')"
484,913I,2330,2917.969,-2057.2202499999994,860.7487500000003,"('25.038035', '121.50462')"
591,9291,2330,3124.367,-2263.61475,860.75225,"('25.029554', '121.550912')"
29,1042,2330,5791.05575,-4926.491749999999,864.5640000000003,"('22.993262', '120.196807')"
159,538F,2330,5536.508000000001,-4664.121499999998,872.3865000000004,"('25.05581', '121.510098')"
161,538M,2330,4176.0745000000015,-3279.5585,896.5160000000004,"('23.479738', '120.450185')"
442,8844,2330,7920.094749999998,-7019.6845,900.4102499999989,"('25.055411', '121.532851')"
398,815Y,2330,5418.322499999998,-4516.659750000002,901.6627499999986,"('23.304936', '120.31836')"
26,103F,2330,2125.79775,-1223.53375,902.2639999999997,"('25.054529', '121.60644')"
325,700N,2330,2318.27725,-1414.12325,904.154,"('25.018991', '121.479063')"
355,7035,2330,1995.7035000000005,-1088.7452499999997,906.9582500000006,"('25.033882', '121.530487')"
715,981j,2330,6091.433000000001,-5178.061,913.3720000000003,"('25.093368', '121.525375')"
65,116F,2330,5936.211000000001,-5022.77025,913.4407500000017,"('23.95892167', '120.57429326')"
86,116f,2330,5936.211000000001,-5022.77025,913.4407500000017,"('25.050489', '121.544181')"
475,9131,2330,4584.44275,-3649.340000000001,935.1027499999992,"('24.138041', '120.679355')"
700,981L,2330,3015.7015,-2079.225,936.4765000000003,"('22.709875', '120.298748')"
407,8458,2330,3458.106500000001,-2518.1845000000008,939.922,"('22.994696', '120.20173')"
333,700Z,2330,4646.6645,-3692.24075,954.42375,"('22.611726', '120.302041')"
534,920G,2330,4633.938,-3670.63575,963.3022500000003,"('24.0748915', '120.5436385')"
158,538E,2330,5691.70325,-4723.416,968.2872499999994,"('24.137223', '120.679422')"
614,9328,2330,3336.456000000001,-2365.71475,970.7412500000003,"('22.549132', '120.538318')"
7,1029,2330,4891.83625,-3918.42775,973.4085,"('22.631953', '120.360748')"
681,980h,2330,14018.16475,-13031.459749999998,986.7050000000016,"('25.043125', '121.513069')"
514,918e,2330,3466.8262500000005,-2475.874,990.9522500000007,"('25.04175', '121.550405')"
501,918E,2330,3466.8262500000005,-2475.874,990.9522500000007,"('25.052297', '121.530795')"
638,9621,2330,3624.07925,-2619.9045,1004.17475,"('23.98231542', '121.60705237')"
586,9283,2330,2850.2975,-1845.38025,1004.91725,"('22.99227', '120.211417')"
498,918B,2330,4959.66325,-3941.1575,1018.5057499999994,"('25.018991', '121.479063')"
361,7750,2330,7271.075499999999,-6249.85775,1021.2177499999988,"('25.012076', '121.515201')"
346,700q,2330,2966.9565,-1931.4952499999995,1035.4612500000003,"('25.083297', '121.593043')"
447,884A,2330,6985.186250000002,-5943.443,1041.7432500000002,"('25.095179', '121.524047')"
634,9604,2330,8937.179250000001,-7891.7155,1045.4637500000008,"('25.113459', '121.517147')"
724,9824,2330,2950.05375,-1889.04775,1061.006,"('24.146905', '120.661436')"
97,1233,2330,4593.37175,-3530.9359999999997,1062.43575,"('24.12203', '120.662034')"
610,9324,2330,5662.471749999999,-4594.96925,1067.5024999999987,"('22.793277', '120.287212')"
40,1115,2330,3445.702500000001,-2377.055250000001,1068.64725,"('24.130268', '120.71992')"
235,592W,2330,3964.4905,-2889.33075,1075.1597499999998,"('25.117684', '121.504034')"
254,592w,2330,3964.4905,-2889.33075,1075.1597499999998,"('23.16235', '120.177891')"
177,5853,2330,6090.3052499999985,-5007.8915,1082.4137499999997,"('24.9582508', '121.2241113')"
821,9A79,2330,3303.019,-2211.63,1091.389,"('23.966348', '120.96558')"
676,980Q,2330,3898.753249999999,-2806.98225,1091.7709999999993,"('25.047959', '121.291524')"
841,9A9N,2330,4543.6365,-3446.144,1097.4924999999994,"('25.01788', '121.29715')"
104,126Q,2330,4989.045,-3878.7167500000014,1110.3282499999998,"('22.630326', '120.313766')"
817,989z,2330,3600.5890000000004,-2477.97675,1122.61225,"('25.052065', '121.543654')"
808,989Z,2330,3600.5890000000004,-2477.97675,1122.61225,"('22.567037', '120.356664')"
685,9812,2330,5077.83525,-3952.734,1125.1012500000006,"('24.138411', '120.680637')"
682,980l,2330,3104.196,-1973.3210000000006,1130.8749999999995,"('23.709672', '120.438683')"
728,982B,2330,8068.4155,-6936.2715,1132.1440000000002,"('22.660938', '120.305553')"
79,116W,2330,3205.0315,-2065.7512500000007,1139.2802499999998,"('22.625213', '120.362358')"
416,845S,2330,2201.468,-1060.54125,1140.92675,"('25.045384', '121.296211')"
366,7797,2330,3617.829500000001,-2456.196,1161.6335000000008,"('22.628108', '120.292913')"
757,9857,2330,5918.0145,-4746.4065,1171.6080000000004,"('25.080677', '121.480071')"
291,6461,2330,4779.7055,-3598.2832500000004,1181.4222499999996,"('24.994448', '121.422653')"
706,981U,2330,4002.67175,-2820.4840000000004,1182.18775,"('25.044216', '121.526693')"
607,9319,2330,5877.594,-4687.534000000001,1190.0600000000004,"('24.954474', '121.350389')"
164,538W,2330,7920.57425,-6726.729999999999,1193.844250000001,"('25.020674', '121.466294')"
564,9233,2330,6903.938749999998,-5703.54025,1200.3984999999993,"('25.057778', '121.364714')"
