stockiid,Booling,Booling_trade,追隨外資,forei_trade,追隨投信,invers_trade,KD 交叉,KD_trade,MACD 交叉,MACD_trade,均線交叉,MA_trade,type,Price
1783,3.268,26,0.84,120,0.00,0,1.29,50,0.26,15,0.42,46,生技醫療業,TW
1786,1.3493,26,2.46,104,-0.38,2,1.95,46,0.10,14,-0.13,43,生技醫療業,TW
1789,0.1948,25,-11.01,237,-0.17,2,1.13,46,0.05,17,-0.22,43,生技醫療業,TW
1795,0.2427,3,0.68,18,-0.15,4,0.30,6,0.45,1,-0.22,7,生技醫療業,TW
3164,1.6211,33,4.63,116,0.00,0,1.08,45,0.61,15,0.60,45,生技醫療業,TW
3705,0.3572,18,-2.62,237,0.00,0,0.18,50,-0.14,15,0.14,51,生技醫療業,TW
4104,0.1299,17,-0.06,196,0.00,0,0.49,53,0.14,18,0.16,44,生技醫療業,TW
4106,0.9536,24,3.58,115,0.00,0,0.57,53,0.04,17,0.54,47,生技醫療業,TW
4108,-0.0857,30,-2.01,186,0.00,0,0.83,55,0.17,18,0.05,40,生技醫療業,TW
4119,0.7981,17,-2.40,154,1.06,29,1.36,50,0.22,16,0.43,44,生技醫療業,TW
4133,1.7275,34,-6.62,107,0.00,0,1.18,44,0.46,15,-0.01,40,生技醫療業,TW
4137,1.2658,26,9.91,121,2.66,36,1.26,47,-0.04,14,0.35,47,生技醫療業,TW
4141,0.3732,34,-3.47,132,0.00,0,0.37,46,0.03,17,-0.48,43,生技醫療業,TW
4142,0.6039,18,2.46,158,0.26,1,1.88,45,0.68,17,0.52,46,生技醫療業,TW
4144,-0.3008,27,1.28,98,0.00,0,0.27,46,-0.15,14,-0.15,43,生技醫療業,TW
4148,-0.1198,21,-5.09,104,1.54,24,0.39,40,-0.80,11,0.56,37,生技醫療業,TW
4155,1.0091,18,0.16,46,0.00,0,0.44,36,0.10,10,0.38,35,生技醫療業,TW
4164,0.0957,24,2.24,110,0.00,1,0.65,52,-0.12,13,-0.04,44,生技醫療業,TW
4190,0.7187,34,4.30,105,1.67,37,1.59,52,-0.76,12,0.27,44,生技醫療業,TW
4737,0.069,28,2.00,67,0.00,0,0.63,49,-0.12,13,0.45,44,生技醫療業,TW
4746,-0.2692,27,-5.85,161,-2.40,17,0.89,41,-0.21,16,-0.09,48,生技醫療業,TW
6452,1.7721,22,-10.18,107,-5.83,22,1.34,42,0.66,22,-0.03,48,生技醫療業,TW
6491,-0.0943,5,-0.93,27,-0.87,8,0.19,10,-0.20,1,-0.09,8,生技醫療業,TW
6541,-2.5106,24,4.90,105,-0.09,1,0.32,40,-0.31,12,0.30,38,生技醫療業,TW
6666,-0.3176,15,-1.42,59,0.39,4,0.54,22,-0.30,6,-0.20,18,生技醫療業,TW
1565,0.2008,31,-0.42,104,3.89,106,0.40,52,-0.55,15,0.09,48,生技醫療業,TWO
1593,0.2573,23,0.35,47,0.00,0,0.57,52,-0.15,13,0.29,50,生技醫療業,TWO
1752,0.1581,26,3.45,122,-0.36,12,0.36,45,0.26,14,0.42,41,生技醫療業,TWO
1777,0.5724,33,-0.18,30,0.00,0,0.17,47,-0.32,16,0.01,45,生技醫療業,TWO
1781,0.7124,38,5.16,7,0.00,0,0.32,54,-0.14,12,0.77,40,生技醫療業,TWO
1784,1.2788,24,4.31,121,0.00,0,0.99,47,0.63,18,0.81,45,生技醫療業,TWO
1788,0.127,23,-2.26,42,0.00,0,0.27,57,0.02,19,0.25,42,生技醫療業,TWO
1799,0.9213,36,1.17,46,0.00,0,0.49,48,-0.10,14,0.35,43,生技醫療業,TWO
1813,-0.599,28,-0.29,37,0.00,0,0.27,46,-0.23,12,0.43,38,生技醫療業,TWO
