,id,model,auc
365,2461,2,0.7438124834883689
366,2462,2,0.7581314085642036
367,2464,2,0.7615354599551263
368,2465,2,0.7389017694583524
369,2466,2,0.8532311861580155
370,2467,2,0.7614375000000001
371,2468,2,0.7098749982619337
372,2471,2,0.7740372593148286
373,2472,2,0.7525564304461942
374,2474,2,0.7231151414078244
375,2476,2,0.7341856536549952
376,2477,2,0.7349816849816849
377,2478,2,0.7577781715095677
378,2480,2,0.767079982597224
379,2481,2,0.7407778962108387
380,2482,2,0.7519301897140929
381,2483,2,0.7451740947075209
382,2484,2,0.7281748236209099
383,2485,2,0.7168114317736061
384,2486,2,0.7714124639819596
385,2488,2,0.7609226698770893
386,2489,2,0.7821666666666667
387,2491,2,0.794983957058894
388,2492,2,0.730979373438184
389,2493,2,0.7499930489907134
390,2495,2,0.7439066290826987
391,2496,2,0.7996788599528326
392,2497,2,0.7574527446467183
393,2498,2,0.7851587500347831
394,2499,2,0.7713522426965645
395,2501,2,0.7472552863744574
396,2504,2,0.7664386890709622
397,2505,2,0.7672631241551346
398,2506,2,0.8016080870258862
399,2509,2,0.758485456509843
400,2511,2,0.7950171220909916
401,2514,2,0.7646218487394958
402,2515,2,0.7391590241730103
403,2516,2,0.7650347222222222
404,2520,2,0.7706669912366115
405,2524,2,0.7597686944595252
406,2527,2,0.7274822054162264
407,2528,2,0.7964778433754517
408,2530,2,0.7635586743555896
409,2534,2,0.7794501977555098
410,2535,2,0.7526775766016713
411,2536,2,0.7700336092439308
412,2537,2,0.7908907721549742
413,2538,2,0.7333903941405099
414,2539,2,0.7485176508019147
415,2540,2,0.7517130952790883
416,2542,2,0.7216323937959822
417,2543,2,0.7329815119001852
418,2545,2,0.7818717477808387
419,2546,2,0.7659916045813411
420,2547,2,0.7736043605054855
421,2548,2,0.7166151876895678
422,2597,2,0.8079892982990386
423,2601,2,0.7840141277641277
424,2603,2,0.7552580861404392
425,2605,2,0.7714453706667409
426,2606,2,0.7981931061332888
427,2607,2,0.7322554601261153
428,2608,2,0.766088058018625
429,2609,2,0.7749971722655808
430,2610,2,0.7787186323931731
431,2611,2,0.7722624370165354
432,2612,2,0.7572109461352708
433,2613,2,0.7638944838794817
434,2614,2,0.7136357824752813
435,2615,2,0.7487981771195154
436,2616,2,0.7579691914151991
437,2617,2,0.8133437356329847
438,2618,2,0.7355858238561227
439,2630,2,0.8618082368082368
440,2633,2,0.742925111220959
441,2634,2,0.7561375366159854
442,2636,2,0.7961945461945461
443,2637,2,0.7843057943169177
444,2642,2,0.75016771019678
445,2701,2,0.7080133905220213
446,2702,2,0.7690029028083797
447,2704,2,0.7466626762621973
448,2705,2,0.7712334976485921
449,2706,2,0.7247316233143999
450,2707,2,0.7616645381013196
451,2712,2,0.7565888506187015
452,2722,2,0.7500965279634085
453,2723,2,0.7259584393553858
454,2727,2,0.7945740353715814
455,2731,2,0.761475297189583
456,2739,2,0.7575705939629991
457,2748,2,0.8278778843660876
458,2801,2,0.7708985108246778
459,2809,2,0.7520950311785785
460,2812,2,0.757477556842017
461,2816,2,0.7495770768671532
462,2820,2,0.7753934843061578
463,2823,2,0.7295806967526597
464,2832,2,0.7470771005950064
465,2834,2,0.7561588668240523
466,2836,2,0.7551912530177647
467,2838,2,0.791103828350945
468,2841,2,0.7271900618337483
469,2845,2,0.7301218927231173
470,2849,2,0.7143274853801169
471,2850,2,0.7484712667639497
472,2851,2,0.7636337022890123
473,2852,2,0.7338078044716011
474,2855,2,0.7111373420358285
475,2867,2,0.7571012838007185
476,2880,2,0.7292390318755668
477,2881,2,0.7337822445095779
478,2882,2,0.7119465329991645
479,2883,2,0.7343359005727632
480,2884,2,0.7659942221661268
481,2885,2,0.7651114941889562
482,2886,2,0.7680627427882255
483,2887,2,0.7299496509176979
484,2888,2,0.7197021412948077
485,2889,2,0.7389311910583304
486,2890,2,0.7571235397440544
487,2891,2,0.7230632203981836
488,2892,2,0.708700663639539
489,2897,2,0.769987336428873
490,2901,2,0.7654650754650753
491,2903,2,0.7690116973687866
492,2904,2,0.7824036750806183
493,2905,2,0.7057849115837141
494,2906,2,0.7515381373788452
495,2908,2,0.7521733092626024
496,2910,2,0.749865752590975
497,2911,2,0.7681280254418553
498,2912,2,0.7223268255401931
499,2913,2,0.7301214625594791
500,2915,2,0.7327721937161735
501,2923,2,0.7155054834938483
502,2929,2,0.7874727151940781
503,2936,2,0.7691955286787612
504,2939,2,0.841024872640096
505,3002,2,0.7614965277777779
506,3003,2,0.7238442907056056
507,3004,2,0.7566367842683632
508,3005,2,0.7693002069243269
509,3006,2,0.7522568190656074
510,3008,2,0.7279404607961735
511,3010,2,0.7639206526286432
512,3011,2,0.7382164272765305
