,Booling,,發繦戈,,發繦щ獺,,KD ユ,,MACD ユ,,А絬ユ,
布絏,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计,厨筍瞯,ユΩ计
1465,129.58%,24,12.49%,34,0.00%,0,87.99%,47,70.72%,18,-0.43%,41
1466,-33.62%,31,-22.76%,20,0.00%,0,21.72%,50,-15.40%,15,-15.53%,49
1467,203.20%,22,2.10%,101,0.00%,0,75.57%,52,40.45%,17,46.63%,41
1468,117.27%,23,6.62%,14,0.00%,0,56.40%,49,74.46%,22,41.13%,47
1470,64.21%,15,-35.67%,12,0.00%,0,9.95%,41,23.34%,13,70.15%,41
1471,156.15%,39,158.14%,32,0.00%,0,229.71%,43,102.88%,16,35.40%,40
1472,-708.05%,30,39.01%,34,0.00%,0,123.24%,48,-1.30%,13,119.90%,41
1473,-128.15%,30,-244.69%,106,0.00%,0,67.74%,45,-36.95%,11,-33.34%,40
1474,12.43%,25,-3.26%,104,0.00%,0,41.01%,44,-1.29%,16,19.44%,39
1475,1706.40%,25,447.66%,12,0.00%,0,571.64%,39,340.41%,13,-34.94%,40
1476,28.47%,25,-266.24%,146,-58.80%,143,120.80%,47,21.49%,19,18.83%,48
1477,-23.30%,23,1438.37%,201,129.24%,101,97.67%,49,43.36%,18,14.13%,42
1503,37.35%,15,-25.55%,107,0.00%,0,63.19%,46,8.91%,22,50.94%,47
1504,-74.54%,27,-195.03%,147,292.78%,38,58.31%,47,-17.81%,17,25.65%,48
1506,57.88%,36,-46.03%,82,0.00%,0,34.42%,52,-18.24%,16,51.00%,46
1507,62.74%,31,1406.82%,224,-132.02%,12,62.73%,51,42.67%,16,30.69%,48
1512,-55.51%,42,-130.51%,47,0.00%,2,149.23%,50,39.99%,16,25.44%,43
1513,78.48%,22,-302.46%,218,-10.70%,2,73.14%,45,7.25%,16,35.34%,43
1514,77.31%,11,216.02%,183,-5.15%,1,166.48%,48,62.52%,16,62.10%,36
1515,177.88%,20,541.00%,113,161.77%,46,228.46%,53,-0.80%,11,103.93%,42
1516,-35.93%,29,-102.38%,13,0.00%,0,64.06%,47,-9.66%,18,7.66%,49
1517,-6.97%,28,-115.45%,90,0.00%,0,40.32%,51,-9.99%,15,-20.07%,41
1519,100.44%,15,1199.99%,164,1.79%,7,92.50%,48,69.60%,18,63.52%,47
1521,-94.84%,29,-36.32%,112,-0.86%,1,39.51%,46,-38.60%,15,-1.91%,41
1522,-25.47%,29,-275.84%,175,-24.17%,1,69.70%,50,-4.76%,12,-0.33%,49
1524,30.62%,22,6.06%,93,0.00%,0,-5.68%,53,-19.17%,18,6.45%,43
1525,33.07%,34,-269.53%,94,-137.62%,20,38.22%,50,-62.77%,15,-26.34%,42
1526,-138.64%,27,284.30%,101,0.00%,0,193.89%,47,9.32%,12,38.81%,46
1527,-332.10%,37,-386.37%,102,-131.31%,9,44.05%,54,-50.84%,14,6.05%,43
1528,-104.78%,24,-355.49%,119,0.00%,0,89.93%,49,1.70%,16,6.36%,43
1529,1779.50%,36,-115.22%,30,0.00%,0,531.57%,50,623.18%,12,675.87%,46
1530,-8.74%,17,-96.95%,40,0.00%,0,50.33%,47,18.45%,15,19.34%,42
1531,4.57%,30,605.38%,142,-53.17%,3,71.45%,46,-7.06%,13,-29.46%,42
1532,58.99%,29,-4.93%,144,14.87%,24,29.81%,49,-6.61%,14,22.37%,44
1533,72.58%,34,-62.00%,166,0.00%,0,66.48%,51,-0.95%,18,45.51%,52
